Issuer Name,Situs
Premera Blue Cross Blue Shield of Alaska,AK
"Moda Health Plan, Inc.",
"UnitedHealthcare of Alabama, Inc.",AL
Blue Cross and Blue Shield of Alabama,AL
Humana Insurance Company,
Celtic Insurance Company,
"QualChoice Life & Health Insurance Company, Inc.",
"UnitedHealthcare of Arkansas, Inc.",AS
"QCA Health Plan, Inc.",
USAble Mutual Insurance Company,
"Blue Cross and Blue Shield of Arizona, Inc.",AZ
Health Choice Insurance Co.,
All Savers Insurance Company,
"Humana Health Plan, Inc.",
"Phoenix Health Plans, Inc.",
Aetna Health Inc. (a PA corp.),PA
"Health Net of Arizona, Inc.",
"Cigna HealthCare of Arizona, Inc",
Highmark BCBSD Inc.,
Aetna Life Insurance Company,
"UnitedHealthcare of Florida, Inc.",
"Florida Health Care Plan, Inc.",
"Health First Health Plans, Inc.",
Blue Cross and Blue Shield of Florida,
"Health Options, Inc.",
"Humana Medical Plan, Inc.",
"Molina Healthcare of Florida, Inc",
"Coventry Health Care of Florida, Inc.",FL
Aetna Health Inc. (a FL corp.),FL
"UnitedHealthcare of Georgia, Inc.",GA
Harken Health Insurance Company,
Alliant Health Plans,
"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA
"Humana Employers Health Plan of Georgia, Inc.",GA
Aetna Health Inc. (a GA corp.),GA
Cigna Health and Life Insurance Company,
Ambetter of Peach State Inc.,
Kaiser Foundation Health Plan of Georgia,GA
Hawaii Medical Service Association,
"Kaiser Foundation Health Plan, Inc.",
"UnitedHealthcare of the Midlands, Inc.",
Medica Insurance Company,
"Gundersen Health Plan, Inc.",
Aetna Health Inc. (a IA corp.),IA
"Health Alliance Medical Plans, Inc.",
Blue Cross Blue Shield of Illinois,IL
"Coventry Health Care of Illinois, Inc.",IL
Coventry Health & Life Co.,
"UnitedHealthcare of the Midwest, Inc.",
"CareSource Indiana, Inc.",IN
Southeastern Indiana Health Organization,
Anthem Ins Companies Inc(Anthem BCBS),
"Physicians Health Plan of Northern Indiana, Inc.",
"MDwise Marketplace, Inc.",
"Indiana University Health Plans, Inc.",IN
"Blue Cross and Blue Shield of Kansas, Inc.",KS
"BlueCross BlueShield Kansas Solutions, Inc.",KS
Blue Cross and Blue Shield of Kansas City,KS
"UnitedHealthcare of Louisiana, Inc.",LA
"Vantage Health Plan, Inc.",
"HMO Louisiana, Inc.",LA
Louisiana Health Service & Indemnity Company,
"Humana Health Benefit Plan of Louisiana, Inc.",LA
Anthem Health Plans of ME(Anthem BCBS),
Harvard Pilgrim  Health Care Inc.,
"Total Health Care USA, Inc.",
McLaren Health Plan Community,
Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI
Priority Health,
Blue Care Network of Michigan,
Priority Health Insurance Company (PHIC),
Physicians Health Plan,
"UnitedHealthcare Community Plan, Inc.",
Alliance Health and Life Insurance Company,
"Molina Healthcare of Michigan, Inc.",MI
"Humana Medical Plan of Michigan, Inc.",
Health Alliance Plan (HAP),
"Meridian Health Plan of Michigan, Inc.",
"Harbor Health Plan, Inc.",
Coventry Health and Life,
Healthy Alliance Life Co(Anthem BCBS),
Coventry Health & Life Insurance Co.,
"UnitedHealthcare of Mississippi, Inc.",
Ambetter of Magnolia Inc.,
PacificSource Health Plans,
Blue Cross and Blue Shield of Montana,MT
Montana Health Cooperative,MT
