StateCode,CountyName,PlanIDStandardComponent,PlanType,MedicalDeductibleIndividual,MedicalDeductibleFamilySt,MedicalMaximumOutOfPocket,count
AK,Aleutians East,38344AK0570001,PPO,5250,10500,6100,1
AK,Aleutians East,38344AK0570002,PPO,3000,6000,4100,2
AK,Aleutians East,38344AK0620003,PPO,1500,3000,4750,3
AK,Aleutians East,38344AK0620004,PPO,2000,4000,6850,4
AK,Aleutians East,38344AK0620006,PPO,3000,6000,6850,6
AK,Aleutians East,38344AK0620008,PPO,6350,12700,6850,7
AK,Aleutians East,73836AK0750001,PPO,750,1500,4750,8
AK,Aleutians East,73836AK0750002,PPO,750,1500,4750,9
AK,Aleutians East,73836AK0750003,PPO,1750,3500,6850,10
AK,Aleutians East,73836AK0750004,PPO,1750,3500,6850,12
AK,Aleutians East,73836AK0790001,PPO,6850,13700,6850,13
AK,Aleutians East,73836AK0790002,PPO,6850,13700,6850,14
AK,Aleutians East,73836AK0840001,PPO,2500,5000,6650,15
AK,Aleutians East,73836AK0850001,PPO,5750,11500,6850,16
AK,Aleutians East,73836AK0850002,PPO,5750,11500,6850,5
AK,Aleutians East,73836AK0860001,PPO,4500,9000,6850,17
AK,Aleutians East,73836AK0860002,PPO,4500,9000,6850,18
AK,Aleutians West,38344AK0570001,PPO,5250,10500,6100,19
AK,Aleutians West,38344AK0570002,PPO,3000,6000,4100,20
AK,Aleutians West,38344AK0620003,PPO,1500,3000,4750,21
AK,Aleutians West,38344AK0620004,PPO,2000,4000,6850,23
AK,Aleutians West,38344AK0620006,PPO,3000,6000,6850,24
AK,Aleutians West,38344AK0620008,PPO,6350,12700,6850,25
AK,Aleutians West,73836AK0750001,PPO,750,1500,4750,26
AK,Aleutians West,73836AK0750002,PPO,750,1500,4750,27
AK,Aleutians West,73836AK0750003,PPO,1750,3500,6850,28
AK,Aleutians West,73836AK0750004,PPO,1750,3500,6850,29
AK,Aleutians West,73836AK0790001,PPO,6850,13700,6850,30
AK,Aleutians West,73836AK0790002,PPO,6850,13700,6850,31
AK,Aleutians West,73836AK0840001,PPO,2500,5000,6650,32
AK,Aleutians West,73836AK0850001,PPO,5750,11500,6850,22
AK,Aleutians West,73836AK0850002,PPO,5750,11500,6850,33
AK,Aleutians West,73836AK0860001,PPO,4500,9000,6850,34
AK,Aleutians West,73836AK0860002,PPO,4500,9000,6850,35
AK,Anchorage,38344AK0570001,PPO,5250,10500,6100,36
AK,Anchorage,38344AK0570002,PPO,3000,6000,4100,37
AK,Anchorage,38344AK0620003,PPO,1500,3000,4750,38
AK,Anchorage,38344AK0620004,PPO,2000,4000,6850,39
AK,Anchorage,38344AK0620006,PPO,3000,6000,6850,40
AK,Anchorage,38344AK0620008,PPO,6350,12700,6850,41
AK,Anchorage,73836AK0750001,PPO,750,1500,4750,42
AK,Anchorage,73836AK0750002,PPO,750,1500,4750,43
AK,Anchorage,73836AK0750003,PPO,1750,3500,6850,44
AK,Anchorage,73836AK0750004,PPO,1750,3500,6850,45
AK,Anchorage,73836AK0790001,PPO,6850,13700,6850,46
AK,Anchorage,73836AK0790002,PPO,6850,13700,6850,47
AK,Anchorage,73836AK0840001,PPO,2500,5000,6650,48
AK,Anchorage,73836AK0850001,PPO,5750,11500,6850,49
AK,Anchorage,73836AK0850002,PPO,5750,11500,6850,50
AK,Anchorage,73836AK0860001,PPO,4500,9000,6850,51
AK,Anchorage,73836AK0860002,PPO,4500,9000,6850,52
AK,Bethel,38344AK0570001,PPO,5250,10500,6100,53
