issuer_hios_id,naic_group_code
13062,
53932,1295
69644,12
57417,
80555,450
29662,826
68697,290
25807,4213
16961,
68256,1117
20014,
11522,707
17540,429
49771,19
60561,901
85425,261
68259,707
93122,839
35008,408
44580,119
14290,
44234,304
42159,707
69461,707
28732,3098
13939,19
52617,50
95307,119
84480,8
16726,707
13311,84
71210,408
57898,290
38445,
59809,707
90632,839
20563,450
36305,215
17421,276
44006,1
27553,687
58003,119
73608,176
93018,
48408,3527
55318,520
96791,901
15039,330
42371,264
50621,
75687,111
44902,7
17017,661
53304,520
87535,450
74575,707
66332,290
48646,707
54189,520
98023,290
70808,408
46944,570
78415,520
32152,176
50970,
64620,901
43459,901
60269,8
50357,707
71149,707
38538,290
34132,19
84982,1295
37236,12
58670,661
42507,429
99024,707
74215,707
19136,290
81593,707
60467,290
38344,962
92805,
70167,264
80049,707
83901,
43927,826
38596,19
73836,1313
60200,520
33720,707
10827,276
91804,4213
69989,119
46383,
11082,1
16540,520
21076,304
62637,19
36608,119
91403,84
81649,901
84455,707
14936,
82125,901
66915,3098
53613,126
84251,1
41773,119
67214,1117
28902,290
42815,123
87968,215
78611,1
59096,450
58493,
71464,12
17454,429
80255,
73277,520
73893,19
13647,276
57624,408
92045,
53901,
80863,19
48748,111
73133,84
98990,290
44008,330
91450,623
64444,111
23307,119
30038,19
63430,901
54156,826
70239,
75849,839
41763,707
61695,8
68948,
95848,261
99394,176
40702,707
95858,450
52461,4727
53708,3527
70594,
12388,687
19509,290
65304,707
24311,707
44054,408
41291,839
21496,
36885,520
90169,707
66105,119
42284,4213
98971,707
91370,264
72269,707
51485,623
15189,304
24046,153
60761,
96346,520
70904,
86228,
36289,473
22722,408
13165,290
20128,661
77352,
97667,901
88925,
82011,707
55221,119
23029,450
69636,1295
86830,901
93588,707
80188,
13262,876
72740,
30598,707
19871,1
62141,1295
70525,
28995,261
87244,4213
37620,1117
11450,290
61124,215
22690,8
28448,661
81392,707
42987,687
24512,276
61273,839
72347,330
91729,826
23816,901
75310,901
31860,707
97610,
13285,3098
65817,707
44722,839
66764,408
20826,140
51826,19
89365,7
97696,153
15540,450
30991,19
72624,520
99555,
29888,
20338,84
22759,264
22830,290
76696,450
10754,19
12762,707
26415,408
72217,4727
33030,450
62722,707
58440,304
53135,707
66520,
29905,119
79816,520
10354,
15517,119
75393,12
22703,290
38433,123
83857,408
11343,176
22732,707
86597,1
90424,
75293,876
17337,707
50823,111
22011,290
99685,119
12074,408
70473,707
55563,304
80046,2798
77064,12
92815,
14823,
98407,
85589,176
64198,19
48962,671
42491,623
56887,
40872,408
12799,707
93689,
95677,707
55599,450
11440,84
15096,111
17875,
50793,
70285,2798
99483,
40513,601
90933,
83977,
89506,
86859,119
14526,
92499,
47071,450
