fiscal_year|state|county|district_name|instruction_expenditures|local_revenue|state_revenue|federal_revenue|county_name|total_enrollment|low_income_students|total_male|total_female|total_white|total_black|total_american_indian|total_hispanic|total_grad_count|total_cohort_count|per_pupil_expenditures|cohort_instruction_expenditures|total_asian|total_multiracial|total_paid_meals|total_females|total_males|state_name|district_id|total_cohort|grad_rate|ppe|pp_local_rev|pp_state_rev|pp_fed_rev
2011|IN|Benton|Benton Community School Corporation|8343368|378979|12262341|314018||1863|854|||1700|8|5|126|||4478.4585|17755.508|9|15|1009|898|965|INDIANA|1800480|152|95|4478.4585|203.42404|6582.04|168.55502
2012|IN|Benton|Benton Community School Corporation|7684969|232767|12293256|570718||1882|880|||1712|11|6|125|||4083.4055|16796.57|11|17|1002|908|974|INDIANA|1800480|137|95|4083.4055|123.68066|6532.0171|303.25079
2013|IN|Benton|Benton Community School Corporation|8283893|418412|12381259|494367||1850|861|||1666|12|2|137|||4477.7798|17383.785|8|25|989|882|968|INDIANA|1800480|119|95|4477.7798|226.16866|6692.5723|267.2254
2014|IN|Benton|Benton Community School Corporation|8410261|306826|12329000|451224||1890|898|||1683|16|3|151|123|132|4449.8735|17489.518|8|29|992|911|979|INDIANA|1800480|133|92|4449.8735|162.3418|6523.2803|238.74286
2015|IN|Benton|Benton Community School Corporation|8310934|150782|12415107|375858||1864|896|||1658|13|3|152|123|133|4458.6558|17469.715|6|32|968|909|955|INDIANA|1800480|133|92|4458.6558|80.891632|6660.4653|201.64056
2016|IN|Benton|Benton Community School Corporation|8813786|847089|12350960|948417||1847|858|||1631|9|4|158|104|111|4771.9468|18158.256|0|39|989|883|964|INDIANA|1800480|113|92|4771.9468|458.62967|6687.0386|513.49054
2017|IN|Benton|Benton Community School Corporation|9013878|656839|12478676|838024||1871|895|||1653|11|3|161|131|139|4817.6792|18498.156|0|37|976|899|972|INDIANA|1800480|140|92|4817.6792|351.06308|6669.522|447.90164
2018|IN|Benton|Benton Community School Corporation|9420901|699007|12565333|318839||1834|902|||1620|13|3|157|130|135|5136.8052|19185.086|0|37|932|893|941|INDIANA|1800480|135|95|5136.8052|381.13794|6851.3267|173.84897
2011|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|31702598|25075420|17728772|5766766|Kankakee|6015|2374|3204|3062|4650|618|27|609|1225|1531|5270.5898|20381.227||||||ILLINOIS|1706960|553|83|5270.5898|4168.8145|2947.4268|958.73083
2012|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|32443218|25931324|17448916|3935993|Kankakee|6004|2695|3201|3043|4606|575|17|651|1480|1495|5403.6006|21205.766||||||ILLINOIS|1706960|545|84|5403.6006|4319.0078|2906.2151|655.56177
2013|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|31814190|26266872|16942024|3855815|Kankakee|5900|2740|3123|3030|4501|595|10|639|1524|1458|5392.2354|21280.822||||||ILLINOIS|1706960|522|86|5392.2354|4452.0122|2871.5295|653.52795
2014|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|32015732|27442742|15874513|3740357|Kankakee|5810|2710|3093|2968|4376|600|14|622|1167|1425|5510.4531|21576.879||||||ILLINOIS|1706960|500|88|5510.4531|4723.3633|2732.2742|643.77917
2015|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|31599332|28151344|15691828|3943916|Kankakee|5806|2936|3084|2971|4363|611|11|623|1189|1451|5442.5303|21748.82||||||ILLINOIS|1706960|486|89|5442.5303|4848.6641|2702.6917|679.28284
2016|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|32127394|28550526|16170360|4550108|Kankakee|5812|2531|3057|2933|4269|609|10|648|1222|1433|5527.769|21872.988||||||ILLINOIS|1706960|507|91|5527.769|4912.3408|2782.2368|782.88165
2017|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|32032050|28334288|16941308|4354972|Kankakee|5754|2847|3097|2892|4208|630|11|657|1173|1376|5566.9185|22047.672||||||ILLINOIS|1706960|508|95|5566.9185|4924.2769|2944.2664|756.85992
2018|IL|Kankakee|Bradley-Bourbonnais Consolidated High School District 307|33293276|28822998|16865678|3943060|Kankakee|5760|2763|3071|2912|4080|673|14|743|1238|1302|5780.0825|22317.301||||||ILLINOIS|1706960|517|94|5780.0825|5003.9927|2928.0691|684.55902
2011|IL|Iroquois|Central Community Unit School District 4|5199138|3994700|3093580|589218|Iroquois|1054|411|586|525|1019|23|1|36|359|400|4932.7686|19777.859||||||ILLINOIS|1710410|87|87|4932.7686|3790.0378|2935.0854|559.03033
2012|IL|Iroquois|Central Community Unit School District 4|5029286|4136179|3112416|598930|Iroquois|1058|408|591|532|1016|18|1|48|416|411|4753.5786|19730.766||||||ILLINOIS|1710410|96|87|4753.5786|3909.4319|2941.792|566.09644
2013|IL|Iroquois|Central Community Unit School District 4|5213217|4229204|2885566|693304|Iroquois|1047|421|579|538|1012|18|0|43|395|379|4979.1948|19754.879||||||ILLINOIS|1710410|84|82|4979.1948|4039.3542|2756.0325|662.18146
2014|IL|Iroquois|Central Community Unit School District 4|5573925|4263897|2664815|666201|Iroquois|1066|472|588|550|1018|16|2|59|335|395|5228.8228|19894.365||||||ILLINOIS|1710410|87|92|5228.8228|3999.9033|2499.8264|624.95404
2015|IL|Iroquois|Central Community Unit School District 4|5699070|4108094|2736722|676070|Iroquois|1066|479|573|549|1007|13|2|62|303|371|5346.2197|20307.816||||||ILLINOIS|1710410|91|92|5346.2197|3853.7468|2567.2815|634.21204
2016|IL|Iroquois|Central Community Unit School District 4|5722657|4057443|2706175|696660|Iroquois|1042|488|564|543|999|11|2|55|336|379|5491.9932|21046.23||||||ILLINOIS|1710410|81|87|5491.9932|3893.8992|2597.0969|668.57965
2017|IL|Iroquois|Central Community Unit School District 4|5541165|4226685|2925525|714365|Iroquois|1024|477|548|540|978|11|2|64|309|374|5411.2939|21478.33||||||ILLINOIS|1710410|66|92|5411.2939|4127.6221|2856.958|697.62207
2018|IL|Iroquois|Central Community Unit School District 4|5502530|4462647|2759847|696609|Iroquois|1014|440|548|521|945|5|1|77|335|385|5426.5581|21676.064||||||ILLINOIS|1710410|81|92|5426.5581|4401.0327|2721.7427|686.99115
