STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
ALABAMA,1,100005,AL-101,Albertville City,10000500871,AL-101-0020,Albertville High School,312,94,.,.,2,PS,11,GE50,126,90-94,7,GE50,166,GE95,11,GE50,93,80-84,.,.,2,PS,22,60-79,23-Sep-19
ALABAMA,1,100006,AL-048,Marshall County,10000600872,AL-048-0030,Asbury High School,59,GE90,.,.,.,.,.,.,17,GE80,.,.,42,GE90,10,GE50,46,GE90,1,PS,5,PS,4,PS,23-Sep-19
ALABAMA,1,100006,AL-048,Marshall County,10000600878,AL-048-0100,Douglas High School,153,85-89,2,PS,1,PS,4,PS,35,80-89,.,.,111,85-89,15,GE50,104,85-89,.,.,13,GE50,7,GE50,23-Sep-19
ALABAMA,1,100006,AL-048,Marshall County,10000600883,AL-048-0140,Kate D Smith DAR High School,118,GE95,1,PS,2,PS,1,PS,1,PS,.,.,113,GE95,8,GE50,50,GE90,.,.,5,PS,.,.,23-Sep-19
ALABAMA,1,100006,AL-048,Marshall County,10000601585,AL-048-0042,Brindlee Mountain High School,86,85-89,.,.,.,.,3,PS,4,PS,.,.,79,85-89,14,GE50,49,80-89,1,PS,.,.,.,.,23-Sep-19
ALABAMA,1,100007,AL-158,Hoover City,10000700251,AL-158-0400,Hoover High School,704,93,.,.,47,80-89,205,85-89,43,80-89,33,GE90,376,97,32,50-59,162,75-79,1,PS,5,PS,7,LT50,23-Sep-19
ALABAMA,1,100007,AL-158,Hoover City,10000701456,AL-158-0010,Spain Park High School,416,96,.,.,26,GE80,99,90-94,20,GE80,16,GE80,255,GE95,19,60-79,72,85-89,1,PS,2,PS,2,PS,23-Sep-19
ALABAMA,1,100008,AL-169,Madison City,10000800831,AL-169-0080,Bob Jones High School,456,97,2,PS,37,GE90,111,GE95,32,GE90,9,GE50,265,GE95,43,GE90,83,90-94,1,PS,7,GE50,8,GE50,23-Sep-19
ALABAMA,1,100008,AL-169,Madison City,10000802198,AL-169-0095,James Clemens High School,467,95,1,PS,39,GE90,99,GE95,20,GE80,11,GE50,297,90-94,28,40-59,76,85-89,.,.,2,PS,5,PS,23-Sep-19
ALABAMA,1,100011,AL-167,Leeds City,10001102096,AL-167-0030,Leeds High School,128,GE95,.,.,2,PS,36,GE90,20,GE80,7,GE50,63,GE95,14,GE50,53,GE90,1,PS,4,PS,1,PS,23-Sep-19
