STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
LOUISIANA,22,2200017,LA-302,Louisiana School for Math Science & the Arts,2.20002E+11,LA-302-302006,Louisiana School for Math Science & the Arts,103,GE95,,,15,GE50,12,GE50,7,GE50,,,69,GE95,,,33,GE90,,,,,,,23-Sep-19
LOUISIANA,22,2200018,LA-304,LA Schools for the Deaf and Visually Impaired,2.20002E+11,LA-304-304002,Louisiana School for the Visually Impaired,6,GE50,,,,,5,PS,,,,,1,PS,6,GE50,6,GE50,,,2,PS,,,23-Sep-19
LOUISIANA,22,2200018,LA-304,LA Schools for the Deaf and Visually Impaired,2.20002E+11,LA-304-304001,Louisiana School for the Deaf,5,PS,,,,,1,PS,2,PS,,,2,PS,5,PS,4,PS,,,,,,,23-Sep-19
LOUISIANA,22,2200022,LA-318,LSU Laboratory School,2.20002E+11,LA-318-318001,LSU Laboratory School,111,GE95,,,3,PS,13,GE50,4,PS,,,91,GE95,,,5,PS,,,,,,,23-Sep-19
LOUISIANA,22,2200023,LA-319,Southern University Lab School,2.20002E+11,LA-319-319001,Southern University Lab School,42,GE90,,,,,42,GE90,,,,,,,,,31,GE90,,,,,,,23-Sep-19
LOUISIANA,22,2200023,LA-319,Southern University Lab School,2.20002E+11,LA-319-319002,Southern University Laboratory Virtual School,43,19-Nov,1,PS,1,PS,9,LT50,,,1,PS,31,19-Nov,,,26,LE20,,,,,,,23-Sep-19
LOUISIANA,22,2200030,LA-001,Acadia Parish,2.20003E+11,LA-001-001005,Church Point High School,109,85-89,,,,,29,GE80,4,PS,1,PS,75,85-89,8,LT50,52,70-79,,,,,1,PS,23-Sep-19
LOUISIANA,22,2200030,LA-001,Acadia Parish,2.20003E+11,LA-001-001007,Crowley High School,137,GE95,,,,,59,GE90,3,PS,3,PS,72,GE95,11,GE50,92,90-94,,,,,1,PS,23-Sep-19
LOUISIANA,22,2200030,LA-001,Acadia Parish,2.20003E+11,LA-001-001034,Iota High School,146,GE95,2,PS,,,4,PS,2,PS,2,PS,136,GE95,3,PS,57,GE90,,,,,1,PS,23-Sep-19
LOUISIANA,22,2200030,LA-001,Acadia Parish,2.20003E+11,LA-001-001017,Midland High School,54,GE90,,,,,7,GE50,,,2,PS,45,GE90,2,PS,20,GE80,,,,,,,23-Sep-19
LOUISIANA,22,2200030,LA-001,Acadia Parish,2.20003E+11,LA-001-001021,Rayne High School,155,90-94,,,,,51,80-89,2,PS,2,PS,100,90-94,11,GE50,100,90-94,,,,,1,PS,23-Sep-19
LOUISIANA,22,2200035,LA-333,Avoyelles Public Charter School,2.20004E+11,LA-333-333001,Avoyelles Public Charter School,57,GE90,2,PS,1,PS,7,GE50,2,PS,,,45,GE90,1,PS,17,GE80,,,1,PS,,,23-Sep-19
LOUISIANA,22,2200036,LA-334,New Orleans Center for Creative Arts,2.20004E+11,LA-334-334001,New Orleans Center for Creative Arts,52,GE90,,,1,PS,10,GE50,4,PS,1,PS,36,GE90,,,20,GE80,,,,,,,23-Sep-19
LOUISIANA,22,2200038,LA-336,Delhi Charter School,2.20004E+11,LA-336-336001,Delhi Charter School,58,GE90,,,,,18,GE80,3,PS,,,37,80-89,3,PS,41,80-89,,,,,,,23-Sep-19
LOUISIANA,22,2200039,LA-067,Zachary Community School District,2.20004E+11,LA-067-067004,Zachary High School,361,93,,,1,PS,183,90-94,3,PS,3,PS,171,90-94,25,60-79,167,85-89,,,7,GE50,2,PS,23-Sep-19
LOUISIANA,22,2200040,LA-068,City of Baker School District,2.20004E+11,LA-068-068002,Baker High School,122,70-74,,,,,115,70-74,,,,,7,GE50,14,LT50,110,75-79,,,,,,,23-Sep-19
LOUISIANA,22,2200047,LA-A02,Office of Juvenile Justice,2.20005E+11,LA-A02-A02002,Riverside Alternative High School,40,LE10,,,,,25,LE20,1,PS,,,14,LT50,13,LT50,35,LE10,,,,,,,23-Sep-19
LOUISIANA,22,2200047,LA-A02,Office of Juvenile Justice,2.20005E+11,LA-A02-A02003,Southside Alternative High School,76,LE5,1,PS,,,65,LE5,2,PS,1,PS,7,LT50,30,LE20,64,LE5,,,,,,,23-Sep-19
LOUISIANA,22,2200060,LA-002,Allen Parish,2.20006E+11,LA-002-002001,Elizabeth High School,25,GE80,2,PS,,,,,,,,,23,GE80,4,PS,12,GE50,,,,,,,23-Sep-19
LOUISIANA,22,2200060,LA-002,Allen Parish,2.20006E+11,LA-002-002002,Fairview High School,29,GE80,,,,,,,,,,,29,GE80,1,PS,16,GE80,,,1,PS,,,23-Sep-19
