STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-021,Lee High,108,LE5,.,.,.,.,96,LE5,2,PS,.,.,10,LT50,20,LE20,23,LE20,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-022,Trenton High,207,LE1,.,.,.,.,162,LE5,3,PS,.,.,42,LE10,51,LE10,50,LE10,.,.,1,PS,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-024,Turbeville High,376,LE1,.,.,1,PS,267,LE5,4,PS,.,.,100,LE5,84,LE5,114,LE5,1,PS,5,PS,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-003,Tyger River High,148,LE5,.,.,.,.,97,LE5,7,LT50,.,.,44,LE10,6,LT50,13,LT50,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-023,Ridgeland High,20,LE20,1,PS,.,.,12,LT50,.,.,.,.,7,LT50,2,PS,11,LT50,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-007,Manning High,199,LE5,.,.,1,PS,125,LE5,5,PS,.,.,65,LE5,27,LE20,30,LE20,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-006,MacDougall High,19,LE20,.,.,.,.,12,LT50,.,.,.,.,7,LT50,1,PS,5,PS,.,.,1,PS,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-011,Sara Babb High,61,LE5,.,.,.,.,19,LE20,2,PS,.,.,40,LE10,5,PS,7,LT50,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500001,SC-5209,Dept Of Correction N04,4.5E+11,SC-5209-009,Wateree River High,48,LE10,.,.,.,.,33,LE10,2,PS,.,.,10,LT50,1,PS,3,PS,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500002,SC-1804,Dorchester 04,4.5E+11,SC-1804-019,Woodland High,178,90-94,1,PS,.,.,103,90-94,7,GE50,.,.,67,85-89,31,60-69,105,90-94,.,.,12,GE50,1,PS,23-Sep-19
SOUTH CAROLINA,45,4500690,SC-0160,Abbeville 60,4.50069E+11,SC-0160-001,Abbeville High,134,85-89,.,.,.,.,64,80-84,4,PS,.,.,66,90-94,14,GE50,77,90-94,2,PS,3,PS,2,PS,23-Sep-19
SOUTH CAROLINA,45,4500690,SC-0160,Abbeville 60,4.50069E+11,SC-0160-003,Dixie High,83,75-79,.,.,.,.,18,60-79,.,.,.,.,65,80-84,11,LT50,31,80-89,.,.,4,PS,2,PS,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-002,Aiken High,332,90,1,PS,2,PS,148,85-89,31,GE90,.,.,150,90-94,33,40-49,188,85-89,1,PS,14,GE50,14,GE50,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-012,North Augusta High,374,89,1,PS,3,PS,139,80-84,24,GE80,.,.,207,90-94,33,70-79,146,85-89,1,PS,17,60-79,17,GE80,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-060,Ridge Spring-Monetta Middle High,46,80-89,.,.,.,.,20,GE80,4,PS,.,.,22,GE80,10,GE50,34,GE90,.,.,4,PS,2,PS,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-015,Wagener-Sally High,49,80-89,.,.,1,PS,23,GE80,1,PS,.,.,24,GE80,11,GE50,39,80-89,.,.,2,PS,.,.,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-603,Aiken Performing Arts Academy Charter,10,GE50,1,PS,.,.,6,GE50,.,.,.,.,3,PS,1,PS,6,GE50,.,.,.,.,.,.,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-006,Midland Valley High,338,89,1,PS,3,PS,101,80-84,32,80-89,.,.,201,90-94,33,50-59,177,85-89,.,.,14,GE50,28,GE80,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-003,South Aiken High,303,88,1,PS,3,PS,89,75-79,22,GE80,.,.,188,90-94,32,40-49,116,80-84,.,.,5,PS,11,GE50,23-Sep-19
SOUTH CAROLINA,45,4500720,SC-0201,Aiken 01,4.50072E+11,SC-0201-001,Silver Bluff High,152,85-89,.,.,1,PS,82,85-89,11,GE50,.,.,58,80-89,15,GE50,84,90-94,.,.,7,GE50,5,PS,23-Sep-19
SOUTH CAROLINA,45,4500750,SC-0301,Allendale 01,4.50075E+11,SC-0301-001,Allendale Fairfax High,101,70-74,.,.,.,.,97,70-74,1,PS,.,.,3,PS,8,GE50,79,75-79,.,.,1,PS,1,PS,23-Sep-19
SOUTH CAROLINA,45,4500780,SC-0401,Anderson 01,4.50078E+11,SC-0401-001,Palmetto High,265,85,.,.,2,PS,23,GE80,32,70-79,.,.,208,85-89,37,50-59,122,GE95,5,PS,11,GE50,21,60-79,23-Sep-19
SOUTH CAROLINA,45,4500780,SC-0401,Anderson 01,4.50078E+11,SC-0401-003,Wren High,298,90,1,PS,6,GE50,29,GE80,8,GE50,.,.,254,90-94,49,60-69,85,90-94,3,PS,10,GE50,6,GE50,23-Sep-19
SOUTH CAROLINA,45,4500780,SC-0401,Anderson 01,4.50078E+11,SC-0401-002,Powdersville High,200,GE95,3,PS,7,GE50,19,GE80,6,GE50,.,.,165,GE95,14,GE50,53,GE90,.,.,3,PS,6,GE50,23-Sep-19
SOUTH CAROLINA,45,4500810,SC-0402,Anderson 02,4.50081E+11,SC-0402-012,Belton Honea Path High,293,84,.,.,3,PS,57,70-79,4,PS,.,.,229,85-89,40,40-49,126,80-84,.,.,4,PS,5,PS,23-Sep-19
SOUTH CAROLINA,45,4500840,SC-0403,Anderson 03,4.50084E+11,SC-0403-022,Crescent High,160,90-94,1,PS,.,.,20,GE80,6,GE50,.,.,133,GE95,16,60-79,81,90-94,1,PS,12,GE50,3,PS,23-Sep-19
SOUTH CAROLINA,45,4500870,SC-0404,Anderson 04,4.50087E+11,SC-0404-027,Pendleton High,233,85,2,PS,2,PS,44,80-89,4,PS,.,.,181,85-89,30,40-59,99,85-89,1,PS,15,GE50,1,PS,23-Sep-19
SOUTH CAROLINA,45,4500900,SC-0405,Anderson 05,4.5009E+11,SC-0405-038,T. L. Hanna High,468,86,.,.,12,GE50,155,75-79,26,GE80,.,.,275,90-94,51,50-59,182,80-84,1,PS,16,40-59,22,60-79,23-Sep-19
SOUTH CAROLINA,45,4500900,SC-0405,Anderson 05,4.5009E+11,SC-0405-048,Westside High,402,79,.,.,3,PS,171,75-79,22,GE80,.,.,206,75-79,52,50-59,229,85-89,3,PS,29,60-79,17,GE80,23-Sep-19
SOUTH CAROLINA,45,4500900,SC-0405,Anderson 05,4.5009E+11,SC-0405-601,Anderson  Five Charter School,36,80-89,1,PS,.,.,4,PS,.,.,.,.,31,80-89,6,LT50,12,GE50,.,.,1,PS,1,PS,23-Sep-19
SOUTH CAROLINA,45,4500930,SC-0501,Bamberg 01,4.50093E+11,SC-0501-001,Bamberg-Ehrhardt High,117,75-79,.,.,1,PS,73,75-79,3,PS,.,.,40,80-89,12,GE50,75,80-84,.,.,4,PS,.,.,23-Sep-19
SOUTH CAROLINA,45,4500960,SC-0502,Bamberg 02,4.50096E+11,SC-0502-007,Denmark Olar High,43,80-89,.,.,.,.,42,80-89,1,PS,.,.,.,.,4,PS,33,GE90,.,.,.,.,1,PS,23-Sep-19
SOUTH CAROLINA,45,4501020,SC-0619,Barnwell 19,4.50102E+11,SC-0619-001,Blackville-Hilda High,42,80-89,.,.,.,.,34,80-89,1,PS,.,.,7,GE50,5,PS,31,GE90,.,.,2,PS,1,PS,23-Sep-19
SOUTH CAROLINA,45,4501050,SC-0629,Barnwell 29,4.50105E+11,SC-0629-006,Williston-Elko High,70,90-94,1,PS,.,.,39,GE90,3,PS,.,.,27,GE80,10,GE50,45,GE90,.,.,4,PS,1,PS,23-Sep-19
